Age,Earnings Past 12 Months,Usual Weekly Hours,Female,Married,No High School Degree,High School Degree or GED,Some College,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctorate,Employed,White,Black,American Indian or Native American,Asian,Hawaiian or Pacific Islander,Other Race,Biracial,Hispanic,Worked 40+ Weeks During Past 12 Months,Worked 35+ Hours in a Typical Week
47,042000,35,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
62,010000,40,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,01
46,014000,37,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
47,029000,40,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,01
56,000000,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00
61,085000,36,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
48,000000,,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,00
58,000000,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00
43,070000,40,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,01
22,058000,30,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
59,000000,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
52,000000,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
62,020000,35,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,01
64,000000,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
55,000000,,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
39,000000,,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
48,000000,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00
29,003000,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,00
62,075000,40,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
51,000000,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
44,022000,40,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
